Titulo;Subtitulo;Autores;Editorial;Fecha_Publicacion;ISBN_13;ISBN_10;Paginas;Categorias;Tipo;Lenguaje;Imagen;Rating;Opiniones;Precio_Lista;Moneda_Lista;Precio_Venta;Moneda_Venta
Programming Languages: Implementations, Logics, and Programs;9th International Symposium, PLILP '97, Including a Special Track on Declarative Programming Languages in Education, Southampton, UK, September 3-5, 1997. Proceedings;Hugh Glaser|Peter Hartel|Herbert Kuchen;Springer Science & Business Media;1997-08-13;9783540633983;3540633987;428;Computers;BOOK;en;http://books.google.com/books/content?id=jqk9hcIrWegC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Programming and Assessment for Quality Teaching and Learning;;Roy Killen;Cengage Learning Australia;2005;9780170122474;0170122476;267;Competency-based education;BOOK;en;http://books.google.com/books/content?id=C-0e1mX97PsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
The C++ Programming Language;;Bjarne Stroustrup;Addison-Wesley;2013-07-10;9780133522853;0133522857;1363;Computers;BOOK;en;http://books.google.com/books/content?id=PSUNAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;3;3;1569.25;ARS;1157.54;ARS
C Programming Essentials;;Dey Kashi Nath;Pearson Education India;2010;9788131728895;8131728897;292;C (Computer program language);BOOK;en;http://books.google.com/books/content?id=Nj_48RXjnx8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Linear and Nonlinear Programming;;David G. Luenberger|Yinyu Ye;Springer Science & Business Media;2008-07-07;9780387745022;0387745025;546;Business & Economics;BOOK;en;http://books.google.com/books/content?id=-pD62uvi9lgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;5;2;;;;
C++ Programming for the Absolute Beginner;;Dirk Henkemans|Mark Lee;Cengage Learning;2001;9781931841436;1931841438;455;Computers;BOOK;en;http://books.google.com/books/content?id=ea2SOugw6g8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;5;2;;;;
Perl: the Programming Language;;Jules J. Berman;Jones & Bartlett Publishers;2011-11-01;9781449673895;1449673899;52;Computers;BOOK;en;http://books.google.com/books/content?id=maDGMelhpg8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Programming Embedded Systems in C and C++;;Michael Barr;"O'Reilly Media, Inc.";1999;9781565923546;1565923545;174;Computers;BOOK;en;http://books.google.com/books/content?id=a2Q6U0b36rMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;4.5;5;;;;
Programming Languages: Implementations, Logics, and Programs;8th International Symposium, PLILP '96, Aachen, Germany, September 24 - 27, 1996. Proceedings;Germany) PLILP '96 (8th : 1996 : Aachen|Herbert Kuchen|S.Doaitse Swierstra;Springer Science & Business Media;1996-09-11;9783540617563;3540617566;478;Computers;BOOK;en;http://books.google.com/books/content?id=lqiO25_qIRMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Drum Programming Basics;;Lee Levin;Alfred Music Publishing;2002;9780769290546;076929054X;56;Music;BOOK;en;http://books.google.com/books/content?id=KKzaEGqj8R8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
